text,stars
"A nice place to shop, but I wouldn't want to live there. 

I never used to be a department store shopper, but recently Ive discovered that nicer cloths just seem to fit better. Go figure. While I still like getting a deal, I usually wait until there is a clearance or sale or some type. The macy's at scottsdale fashion square seems to have more selection, such as more size options for the items you seem to like and a few more items to choose from also. For guys, I would suggest checking out the Dillards at fashion square; the mens dept is about the size of this entire macy's store. 2 or 3 times a year dillards has an awesome clearance event and you can pickup 65% off clearance prices; which are usually already 50 - 70% off the original price.

I digress; this is supposed to be a review of macy's. If you're in the biltmore area and looking for higher end quality shopping go ahead and check them out, then travel down camelback to fashion square mall when they tell you the item you like is only available in your size at a different store.",3
"The cheesy breadsticks were delicious.  Everything else, not so much.",1
"Ok, so I have to share my morning experience. But first I must start off by saying this: I'm no moron. Honest. 

So, this morning I stopped for gas. My tank was getting dangerously low and there was no way I'd make it to work. That's okay, for I allotted time this morning for re-filling my tank. From my casa, I turned East on Indian School, vaguely remembering there's a Quick Trip nearby. Perfect. I had stopped there before. 

But it wasn't a Quick Trip I saw at the corner of Central and Indian School. Not wanting to risk running out of gas, I opted to stop here, at this ampm station. 

I pulled up to the closest gas tank, got out of my car, took off my gas cap and reached for the gas nozzle. Only then I discovered there was no pay-at-the-pump option. The short notice on the pump said to select my grade and start filling. ""Wow,"" I thought, ""It's so odd for a station to trust people - especially in this area - to not drive off without paying."" 

So, I followed the instructions, but nothing happened. I kept hitting the grade button. It kept beeping back at me. Still nothing. To top it off (no pun intended), the nozzle was wrapped in this huge rubber tube thing that compressed when I applied pressure to the handle. I had never seen anything like it. 

Thinking my particular pump was fuct up, I pulled my car up to the next one. That's when I saw it - this strange machine, like an Amtrack ticket dispenser. I approached with curiously. That's when I realized. You swipe your card at this central machine (or deposit cash, if that's your preference) and then go back to your pump. Ah-ha. This is how this station works. So, I did just that. I punched in my gas pump number (4) and went back to my car to re-fill the tank. Already annoyed at this point, I figured I'd pump enough gas to get me through the next couple of days. 

Only, it wasn't pumping. The long rubber thingy was hindering my ability to hook the nozzle up to my gas tank. UGH. So, that's when I flexed my muscles and applied enough pressure to squeeze out $12 worth of gas. Then I re-hooked the nozzle on its perch and walked back to the strange machine for my receipt - it told me to do so when I swiped my card. Only, no receipt came out. I punched the keypad with defiance and walked off. 

Stupid ampm station. Since when does any gas station benefit from being different? I'm so used to pay-at-the-pump; you just swipe your card, select your grade, pump your gas, grab your receipt and go. Quick Trip doesn't torment me like this. There is no rubber nozzle thingy in my way. Grr. Screw this. I'm never going back there again. 


(Disclaimer: Said writer of review graduated high school with a 3.98 G.P.A  and attended a well accredited college of her choice, where you went on to graduate with honors, having made the Dean's and President's Honor roll more than once. Said writer of review also has street smarts and is able to saddle and ride a horse, do unimaginable cool things with a twisty tie and throw some mean Muay Thai elbows.)",1
"Two times a year, you can meander down Mill Ave and the adjoining streets to look at an array of art for sale. Everything from jewelry and pop art posters to handmade kitchen utensils, photography and abstract paintings. 

If you go both in Spring and Winter, you're likely to see a few of the same artists. For the most part, Tempe Arts Festival does a great job of providing variety. Plus, it's fun to wander and look at things you may not have seen before - let alone expected to see at an arts festival. 

This isn't the most exciting of art festivals. There's really no live music, unless you count the occasional melodies of flutes you hear when you walk by the vendor selling his handmade wooden flutes. 

I've been three times and enjoyed myself every time. I wasn't wowed. I never saw anything I couldn't live without. But, like I said, this is a fun event to mark on your calender for both Spring and Winter - even if it happens to rain during the festival. 

I give last Winter's and this Spring's festivals both a 4-star review, for the weather and company were great. It was my first year going, and I was happy to see that Tempe offered the Valley something that appealed to people who really do try and appreciate art. After all, it's a ""consumer"" type of event, geared toward bringing the community and artists together. I can appreciate that. 

I give this Winter's festival a 3-star review. The rain didn't phase me. I can deal with a few sprinkles. What bothered me was the mixing of ASU and UofA fans, both groups beginning to gather down on Mill Ave for the football showdown. Don't get me wrong, I love a good sporting event and understand team rivalry. I just thought it was unfortunate that the upcoming game and the fans' excitement took over the relaxed, casual feel that the arts festival usually has - you know, when you can walk down the street and look at art without running into an impromptu cheer section. 

You see, fans were screaming in the streets - hollering insults to the other team - and waving their school's colors high. (Once again, I understand the fun of that. I just didn't expect it to be all over the streets in the early afternoon. Maybe I'm naive, though.) The fans were a definite distraction from the art festival. Knowing what would happen when alcohol was mixed into the equation, my friend and I decided to bolt. 

Lucky we did. Seems like Tempe can't handle a few rain droplets, for when we were walking back to the car, a street lamp post nearly fell on our heads. Talk about a commotion. 

I'd much rather attention be fixed on the art festival rather than any football game or falling lamp posts, no matter how dramatic both of those things can be.

I s'pose this echoes the old saying, ""There's a time and place for everything.""

Word to the wise: Parking can be hard to find, or require you to shell out $10 for a spot. If you can, park somewhere closeby that's free of charge and hoof it on foot.",4
Older restrant but very good food,4
"We were visiting again, so of course that means at least 2 trips to Sugar Bowl!  The food, service and ice cream were good as always, but WOW, the prices sure have gone up.  I know that the economy sucks, but for what we got, the prices just don't seem to justify it.  We had different waitresses both times.  The fist was efficient but not very warm.  We had Sandra on our second visit - and YES, she remembered us again!  Could not believe it.  She is very friendly and can really keep up when they get swamped.  We will be back, but maybe only once per visit instead of 2 (or 3 or 4) times.  Just can't afford those prices for what you get.",3
"I've always said if the guacamole, chips and salsa aren't good, the food is not likely to be good either.  I was right, Guacamole was not very good at all, same with the salsa.  Rest of the food was just okay but for a restaurant in the Biltmore I expected so much better.  Just as a note, when it comes to Mexican food, I'm super critical.  This place will probably get a higher ratings from people of the Midwest.",2
Best Subway anywhere. Super-friendly staff and always really clean!,5
Yum!  The toasted barley app is delicious. My boyfriend and I shared the eggplant sandwich and the monk burger. Both of the sandwiches were outstanding. The service was great too. We will definitely go back.,5
Now they are using a hand held drill to buff toenails during their pedi instead of just a quick file.  I can definitely see grow out difference on my nail bed.  Not good.,2
